flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,basin_radius,basin_depth,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,0.04,0.08,0.24,2,0.55,0.938255033557047,0.4840720221606648,0.004517221908526256,0.18012422360248448,0.38986232790988734,0.14330413016270338,0.38986232790988734,0.18648310387984982,0.0,0.6101376720901126,0.09671116900032563,0.47716110095446373,0.7553695000999602
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,0.04,0.12,0.24,2,0.35,0.9387483355525965,0.4842032967032967,0.004517221908526256,0.17334839073969507,0.38442521631644005,0.13782447466007416,0.38442521631644005,0.1773794808405439,0.0,0.61557478368356,0.0986649299902312,0.4791268929732807,0.7550970282385138
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,0.12,0.08,0.36,1,0.55,0.7955439056356488,0.44306569343065694,0.003952569169960474,0.2224731789949181,0.4061718098415346,0.18682235195996663,0.4061718098415346,0.13261050875729774,0.0,0.5938281901584654,0.07912732009117551,0.4848092795538089,0.7599626790810233
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,0.12,0.08,0.24,1,0.35,0.8214804063860668,0.450996015936255,0.003952569169960474,0.28740824392998304,0.3862605314322748,0.169799092676604,0.3862605314322748,0.17368762151652625,0.0,0.6137394685677252,0.07489417127971344,0.4782503474258568,0.7369839935063118
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,0.12,0.08,0.36,2,0.35,0.7840112201963534,0.43946540880503143,0.003952569169960474,0.27780914737436474,0.39048737522019966,0.15736934820904286,0.39048737522019966,0.10158543746330007,0.0,0.6095126247798004,0.08205796157603387,0.46884398042685493,0.7539441421800829
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,0.12,0.12,0.24,2,0.55,0.8188512518409425,0.4502024291497976,0.003952569169960474,0.2987012987012987,0.3905429071803853,0.1342673671920607,0.3905429071803853,0.16637478108581435,0.0,0.6094570928196147,0.08140670791273201,0.45021182349189426,0.7329313876182735
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.08,0.08,0.04,0.36,1,0.35,0.8640646029609691,0.4635379061371841,0.003952569169960474,0.2140033879164314,0.602291325695581,0.28314238952536824,0.602291325695581,0.18330605564648117,0.353518821603928,0.397708674304419,0.08140670791273201,0.46311083065919345,0.7171254208985057
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.08,0.08,0.04,0.36,1,0.55,0.8416107382550335,0.45699708454810495,0.003952569169960474,0.22134387351778656,0.6126704089815558,0.2734562951082598,0.6126704089815558,0.18364073777064957,0.36808340016038493,0.3873295910184443,0.08433734939759036,0.4652569609580285,0.7088987166086217
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.14,0.08,0.12,0.36,1,0.35,0.8510344827586207,0.45976154992548435,0.003952569169960474,0.23828345567476003,0.6159600997506235,0.28595178719867,0.6159600997506235,0.20947630922693267,0.3557772236076476,0.38403990024937656,0.08140670791273201,0.4627915589358632,0.7051283793697619
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.14,0.12,0.04,0.24,1,0.55,0.7907324364723468,0.44156928213689484,0.003952569169960474,0.31959345002823264,0.6095325389550871,0.2685609532538955,0.6095325389550871,0.31347387717690195,0.3629697525206233,0.3904674610449129,0.06610224682513839,0.48707408978815847,0.6619007180384006
