anchor,anchor_family,window_size,phase,length,memory_capacity,perturbation,phase_lag,window_beta,delay_steps,noise_amp,alpha_cutoff_q,effective_offset,direct_best_offset,match_distance,derived_tradeoff,direct_best_tradeoff,tradeoff_gap_to_direct_best,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
silver,metallic_anchor,0.382,0.0,5000,100,combo_small,0.018,0.004,3,0.0015,34,-0.007999999999999938,-0.011999999999999941,0.4656,0.5970622852854252,0.615892933631663,-0.01883064834623782,0.5970622852854252,0.6058464575704106,1.0,0.045745054505645796,0.44327162321941926,11.5,4753.5,245.5,1.0,0.9674821211613601,0.6508092083357407
silver,metallic_anchor,0.382,0.0,5000,100,combo_big,0.045,0.011,8,0.0045,55,-0.007999999999999938,-0.011999999999999941,0.463,0.6004962607163075,0.615892933631663,-0.015396672915355514,0.6004962607163075,0.6082843379627018,1.0,0.0421532161529104,0.431500831006061,11.75,4769.75,229.25,1.0,0.9653563241739256,0.6654482398239219
silver,metallic_anchor,0.382,0.0,5000,400,phase_small,0.015,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.03,0.578313242450177,0.6043429336316631,-0.026029691181486125,0.578313242450177,0.618981486144859,0.8333333333333334,0.0006854592963915797,0.37653739323816837,10.0,4285.0,714.0,1.0,0.9617622315594407,0.450098523122514
silver,metallic_anchor,0.382,0.0,5000,400,phase_big,0.045,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.09,0.578615470543871,0.6043429336316631,-0.02572746308779217,0.578615470543871,0.6194562425427347,0.8326291079812207,0.0009204535427343207,0.3765475994228494,10.0,4285.0,715.0,0.0,0.9617622315594407,0.4501393478612381
silver,metallic_anchor,0.382,0.0,5000,400,window_drift_small,0.0,0.004,0,0.0,0,-0.003999999999999934,-0.011999999999999941,0.0,0.5620343195701067,0.6043429336316631,-0.04230861406155639,0.5620343195701067,0.5690342291505898,1.0,0.038759868195962215,0.5027395817518628,11.5,4677.0,322.0,1.0,0.9832117022713487,0.6189059378574566
silver,metallic_anchor,0.382,0.0,5000,400,window_drift_big,0.0,0.011,0,0.0,0,0.07200000000000013,-0.011999999999999941,0.463,0.5911540898802797,0.6043429336316631,-0.013188843751383406,0.5911540898802797,0.6007572971171218,1.0,0.05972450657894737,0.4047687844302709,11.0,4864.0,84.0,52.0,0.9812945489258211,0.3801638792138018
silver,metallic_anchor,0.382,0.0,5000,400,delay_3,0.0,0.0,3,0.0,0,0.0320000000000001,-0.011999999999999941,0.468,0.5784956610721201,0.6043429336316631,-0.025847272559543,0.5784956610721201,0.619149040546754,0.8334905660377359,0.000812523901993727,0.3758943737557205,10.0,4286.0,713.0,1.0,0.9598649208579106,0.4494719731370401
silver,metallic_anchor,0.382,0.0,5000,400,delay_8,0.0,0.0,8,0.0,0,0.0320000000000001,-0.011999999999999941,0.4676,0.5795138429947014,0.6043429336316631,-0.024829090636961704,0.5795138429947014,0.6206350995483306,0.8327863406856232,0.0016057834454590257,0.3752809928170026,13.0,4285.0,715.0,0.0,0.9579838922959397,0.4489718038083204
silver,metallic_anchor,0.382,0.0,5000,400,noise_small,0.0,0.0,0,0.0015,0,6.938893903907228e-17,-0.011999999999999941,0.0012,0.5863761067881026,0.6043429336316631,-0.017966826843560546,0.5863761067881026,0.618633487172034,0.8684738955823293,0.000812523901993727,0.3757488654309586,10.0,4286.0,713.0,1.0,0.9611611431558383,0.4475455002972773
silver,metallic_anchor,0.382,0.0,5000,400,noise_big,0.0,0.0,0,0.0045,0,6.938893903907228e-17,-0.011999999999999941,0.0044,0.5957601663234741,0.6043429336316631,-0.008582767308189077,0.5957601663234741,0.6180031668705219,0.9094594594594595,0.0007967210888140206,0.37450507322672816,10.5,4374.75,624.25,1.0,0.9611989157428382,0.4425084502719621
