anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,phase_lock_resistance,delayed_retention,pollution,symmetry_balance,rigidity_after_zipping,center_share,closure_balance,composite_score,surrogate_base_score
golden,phi_anchor,binary_baseline,Binary Window,0.6480339887498948,0.029999999999999978,0.24,0.0,0.0,4096,0.4915989401471236,0.0,1.0,0.5365720524017468,0.96435546875,0.10546875,0.0,0.3403507757941371,0.19663957605884944
golden,phi_anchor,binary_baseline,Binary Window,0.6540339887498947,0.035999999999999976,0.24,0.0,0.0,4096,0.41942695878149805,0.0,1.0,0.5363189513926816,0.964599609375,0.10595703125,0.0,0.3187480095094494,0.16777078351259922
golden,phi_anchor,binary_baseline,Binary Window,0.6600339887498947,0.041999999999999975,0.24,0.0,0.0,4096,0.4593254654683775,0.0,1.0,0.5365720524017468,0.96435546875,0.10546875,0.0,0.3306687333905133,0.183730186187351
golden,phi_anchor,binary_baseline,Binary Window,0.6660339887498947,0.04799999999999997,0.24,0.0,0.0,4096,0.10912704387493177,0.0,0.9989949748743718,0.5410549211528004,0.965576171875,0.10205078125,0.0,0.22607445306511773,0.043902073831379756
golden,phi_anchor,binary_baseline,Binary Window,0.6720339887498947,0.05399999999999997,0.24,0.0,0.0,4096,0.4945173986477994,0.0,1.0,0.5364256480218281,0.963134765625,0.105224609375,0.0,0.34098217271933984,0.19780695945911977
golden,phi_anchor,binary_baseline,Binary Window,0.6780339887498947,0.05999999999999997,0.24,0.0,0.0,4096,0.45230509769773564,0.0,0.9989827060020345,0.5365720524017468,0.96337890625,0.10546875,0.0,0.3285911152388731,0.18117636257858563
golden,phi_anchor,binary_baseline,Binary Window,0.5580339887498948,-0.06,0.24,0.0,0.011,4096,0.4747832022504267,0.0,1.0,0.5365720524017468,0.9638671875,0.10546875,0.0,0.33520839817512804,0.18991328090017068
golden,phi_anchor,binary_baseline,Binary Window,0.5640339887498947,-0.054,0.24,0.0,0.011,4096,0.4381269506822266,0.0,1.0,0.5365720524017468,0.963623046875,0.10546875,0.0,0.324162694579668,0.17525078027289065
golden,phi_anchor,binary_baseline,Binary Window,0.5700339887498947,-0.048,0.24,0.0,0.011,4096,0.42685298327668975,0.0,1.0,0.5376637554585153,0.96484375,0.10546875,0.0,0.321024644983007,0.17074119331067591
golden,phi_anchor,binary_baseline,Binary Window,0.5760339887498948,-0.042,0.24,0.0,0.011,4096,0.5083507416158592,0.0,1.0,0.5368248772504092,0.964599609375,0.10498046875,0.0,0.3454251443597578,0.2033402966463437
golden,phi_anchor,binary_baseline,Binary Window,0.5820339887498948,-0.036000000000000004,0.24,0.0,0.011,4096,0.10832835411002106,0.0,0.9989878542510121,0.537833424060969,0.96484375,0.10302734375,0.0,0.22568992829778367,0.0435843780812554
golden,phi_anchor,binary_baseline,Binary Window,0.5880339887498948,-0.030000000000000006,0.24,0.0,0.011,4096,0.33796543322382944,0.0,1.0,0.5357728017476788,0.965087890625,0.10595703125,0.0,0.2944072080921488,0.13518617328953178
golden,phi_anchor,binary_baseline,Binary Window,0.5940339887498948,-0.024000000000000007,0.24,0.0,0.011,4096,0.11625427499046415,0.0,0.9989816700610998,0.5360262008733625,0.964111328125,0.10546875,0.0,0.2279225807086973,0.046756292480910705
golden,phi_anchor,binary_baseline,Binary Window,0.6000339887498948,-0.01800000000000001,0.24,0.0,0.011,4096,0.42731475969180566,0.0,1.0,0.5382096069868996,0.9638671875,0.10546875,0.0,0.3209678654075417,0.17092590387672227
