anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_closure_age,memory_capacity,write_count,release_count,witness_expired,delayed_retention,pollution,witness_conversion,mean_closure_latency,return_interval_diversity,phase_lock_resistance,symmetry_balance,rigidity_after_perturbation,center_share,composite_score,surrogate_base_score
golden,phi_anchor,flat_ternary,Flat Ternary,0.5640339887498947,-0.054,0.18,0.0,0.0,4096,13,34,307.0,3476.0,0.0,1.0,0.2703583061889251,0.49516129032258066,4.315960912052117,0.9064128947019325,0.45307794853788275,0.9967741935483871,0.9658203125,0.8486328125,0.9061659039207721,0.6691038735231596
golden,phi_anchor,flat_ternary,Flat Ternary,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,13,34,300.0,3477.0,0.0,0.9966777408637874,0.06333333333333334,0.48465266558966075,4.37,0.27961663866941905,0.6149044880407633,0.9983844911147012,0.96826171875,0.848876953125,0.9374151668128692,0.7627081065151923
golden,phi_anchor,flat_ternary,Flat Ternary,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,13,34,291.0,3476.0,0.0,1.0,0.13058419243986255,0.4693548387096774,2.381443298969072,0.4196678889457554,0.6078447207221727,1.0,0.9697265625,0.8486328125,0.9339736826698837,0.7450342375253082
golden,phi_anchor,flat_ternary,Flat Ternary,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,13,34,306.0,3476.0,0.0,0.996742671009772,0.026143790849673203,0.4935483870967742,2.957516339869281,0.6288496712370586,0.5829543396148515,1.0,0.967529296875,0.8486328125,0.9705402716704763,0.7609023748592704
golden,phi_anchor,flat_ternary,Flat Ternary,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,13,34,244.0,3476.0,0.0,0.9959183673469387,0.7459016393442623,0.3935483870967742,5.262295081967213,0.6653552185258977,0.2813468180881088,0.9935483870967742,0.96923828125,0.8486328125,0.7093102121480952,0.4961734428156667
golden,phi_anchor,flat_ternary,Flat Ternary,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,13,34,244.0,3476.0,0.0,1.0,0.0,0.3935483870967742,6.098360655737705,0.8064516127709851,0.5817874061817938,1.0,0.9677734375,0.8486328125,0.9760689328063279,0.7486464277792293
golden,phi_anchor,flat_ternary,Flat Ternary,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,13,34,69.0,3632.0,0.0,0.9583333333333334,0.0,0.14870689655172414,3.0,0.0,0.2698164247936127,0.3793103448275862,0.966064453125,0.88671875,0.7024101216963513,0.5868381591424721
golden,phi_anchor,flat_ternary,Flat Ternary,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,13,34,247.0,3480.0,0.0,1.0,0.0,0.400974025974026,6.198380566801619,0.7524765942046452,0.41091941908542007,0.9935064935064936,0.96826171875,0.849609375,0.9136370831351568,0.6918879271643676
golden,phi_anchor,flat_ternary,Flat Ternary,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,13,34,266.0,3476.0,0.0,0.9962546816479401,0.34210526315789475,0.4290322580645161,5.2669172932330826,0.6186411251732364,0.6008147376583606,1.0,0.9677734375,0.8486328125,0.9006745317526236,0.6920330754852999
golden,phi_anchor,flat_ternary,Flat Ternary,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,13,34,302.0,3478.0,0.0,1.0,0.046357615894039736,0.4886731391585761,3.533112582781457,0.5075588788188499,0.6018062202286467,1.0,0.968994140625,0.84912109375,0.9609590586918607,0.7633037567474756
